id,case_no,time,shift,date,location,type
228,B11-001002,11:57am,I,April22,2011, 200 Block of Palmer Rd, ROBBERY-3RD-STREET-STRONG ARM
229,B11-001003,12:43pm,I,April22,2011, Bedzzz Express, 8760 Madison Blvd, BREAKING AND ENTERING A VEHICLE
230,B11-001007,2:50pm,II,April22,2011, 100 Block of Spenryn Dr, THEFT 2ND DEGREE
231,B11-001008,3:00pm,II,April22,2011, 100 Block of Ambergate Dr, THEFT 1ST DEGREE
232,B11-001011,4:45pm,II,April22,2011, 100 Block of Westscott Dr Madison, THEFT 3RD DEGREE
233,B11-001012,4:56pm,II,April22,2011, Sonic, 3763 Sullivan St, THEFT 2ND DEGREE
234,B11-001013,7:40pm,II,April22,2011, 7000 Block of Hwy 72 W Madison, THEFT 2ND DEGREE
235,B11-001017,1:30pm,I,April24,2011, 100 Block of Vinewood Ln, ILLEGAL POSS/USE CREDIT CARD
236,B11-001020,9:00pm,II,April24,2011, 100 Block of Shelton Rd, ROBBERY-1ST
237,B11-001022,2:40pm,II,April25,2011, Dollar General, 7950 Highway 72 W, THEFT 3RD DEGREE
238,B11-001023,4:47pm,II,April25,2011, 1000 Block of Liberty Dr, HARASSMENT
239,B11-001024,5:05pm,II,April25,2011, 100 Block of Hartington Dr, CRIMINAL MISCHIEF-3RD
240,B11-001025,5:25pm,II,April25,2011, 100 Block of Hartington Dr, CRIMINAL MISCHIEF-3RD
241,B11-001026,5:34pm,II,April25,2011, 100 Block of Hartington Dr, THEFT 3RD DEGREE
242,B11-001027,6:13pm,II,April25,2011, 100 Block of Royal Dr Madison, BURGLARY-3RD
243,B11-001027,6:13pm,II,II, 100 Block of Royal Dr Madison, THEFT 2ND DEGREE
244,B11-001028,7:45am,I,April26,2011, 200 Block of Prairie Dr, BREAKING AND ENTERING A VEHICLE
245,B11-001029,11:54am,I,April26,2011, Bennett Chiropractic, 120 W Dublin Dr, THEFT OF SERVICES-1
246,B11-001030,11:56am,I,April26,2011, North Alabama Gas District, 300 Block Shelton Rd Madison, DUTY UPON STRIKING A FIXED OBJECT
247,B11-001031,12:30pm,I,April26,2011, 8000 Block of Highway 72 W, HARASSMENT
248,B11-001032,11:54am,I,April26,2011, Bennett Chiropractic, 120 W Dublin Dr, THEFT OF SERVICES-1
249,B11-001033,2:39pm,II,April26,2011, 100 Block of Hartington Dr, CRIMINAL MISCHIEF-3RD
250,B11-001034,8:15pm,II,April26,2011, 2000 Block of Flagstone Dr Madison, BURGLARY-3RD
251,B11-001034,8:15pm,II,II, 2000 Block of Flagstone Dr Madison, THEFT 1ST DEGREE
252,B11-001035,11:24am,I,April27,2011, 100 Block of Lake Shore Dr, BREAKING AND ENTERING A VEHICLE
253,B11-001036,1:25pm,I,April27,2011, Philly Connection, 3764 Sullivan St, THEFT 3RD DEGREE
254,B11-001039,6:00am,I,April28,2011, 100 Block of Bridletrace Ln, BREAKING AND ENTERING A VEHICLE
